用例ID	优先级	模块	用例标题	类型	云端适用性	前置条件	测试数据/参数	测试步骤	预期结果	自动化建议	状态	执行层级	负责人	最近执行日期	缺陷ID	证据链接	备注
PRJ-007	P1	项目中心	并发修订冲突	异常	本地优先	同一项目打开两个页面	baseRevision 旧值	页面 A 修改并保存；页面 B 执行清空/删除	页面 B 得到 revision_conflict；原数据不被旧状态覆盖	API+Playwright	未执行	Nightly	待分配	—	—	—	API/本地环境优先
PRJ-008	P1	项目中心	Codex Pets 系统项目禁止删除	权限	本地优先	环境具备 Pets 项目	codex_pets	选择 Pets 项目；尝试删除	删除按钮不可用或接口返回 protected_system_project；项目保留	API	未执行	Nightly	待分配	—	—	—	API/本地环境优先
PRJ-009	P1	项目中心	同名动画不静默覆盖	异常	适用	项目已有 idle	再次导入 idle	加入同名动画	出现冲突/新建或替换选择；不直接覆盖	Playwright	未执行	Nightly	待分配	—	—	—	—
PRJ-010	P1	项目中心	混合新建和替换原子性	事务	本地优先	项目有多个动画	一个新建、一个替换、一个故意非法	提交混合工作集	整批失败并回滚；不存在半完成结果	API 集成	未执行	Nightly	待分配	—	—	—	API/本地环境优先
PRJ-011	P1	项目中心	空项目注册表状态	边界	本地优先	可 mock 项目注册表 API 或使用本地测试服务	projects: []	令项目查询返回空数组；访问 /projects	显示无项目说明、新建项目和快速工具入口；不生成无效项目卡	API+Playwright mock	未执行	Nightly	待分配	—	—	—	API/本地环境优先；与云端默认 browser-session 分开验证
ORG-001	P0	序列处理	多图片导入	正向	适用	打开 /tools/import	PNG/JPEG/WebP 各 1；合法尺寸	多选导入	3 帧均出现；名称和源顺序正确	Playwright	通过	PR	待分配	2026-08-09	—	—	以真实 download.png 及其 FFmpeg 派生 JPEG/WebP 在 Edge 同批导入；3 帧均出现，文件名与选择顺序完全一致。
ORG-002	P1	序列处理	拖放和剪贴板导入	输入方式	适用	导入页已加载	PNG 文件	分别拖放、Cmd/Ctrl+V 粘贴	两种方式都加入工作集；无重复导入	Playwright	未执行	Nightly	待分配	—	—	—	—
ORG-003	P1	序列处理	非法图片和空文件	异常	适用	导入页已加载	0 字节、损坏 PNG、文本文件	尝试导入	非法文件被拒绝或跳过；显示清晰错误；已有工作集保留	Playwright	未执行	Nightly	待分配	—	—	—	—
ORG-004	P0	序列处理	导入元数据边界	边界	适用	导入页已加载	名称 80 字符；FPS 1、120	分别输入边界值并导入	边界值可接受并准确保存	Playwright	通过	Release	待分配	2026-08-10	—	—	Edge 创建两个 80 字符动画名，分别以 FPS 1 和 120 写入；/api/config 中名称完整且 speed 精确为 1/120。
ORG-005	P1	序列处理	导入元数据越界	异常	适用	导入页已加载	名称 81 字符；FPS 0、121、非数字	输入并提交	浏览器约束/业务校验阻止提交；不创建错误项目	Playwright	未执行	Nightly	待分配	—	—	—	—
ORG-006	P0	序列处理	视频取帧闭环	闭环	适用	浏览器支持目标视频	1 秒、8 FPS WebM	导入视频；范围 0–1；抽帧 8；提取	至少提取合理帧数；顺序正确；工作集可预览	Playwright+FFmpeg fixture	通过	Release	待分配	2026-08-09	—	—	使用真实 H.264 MP4“敌人-待机死亡传送.mp4”（1024×768、4.458 秒、4 FPS）成功提取不少于 12 帧并预览。
ORG-007	P1	序列处理	视频取帧 FPS 边界	边界	适用	视频已加载	1、60 FPS	分别设置并提取	接受 1 和 60；帧数与时长/FPS 关系合理	Playwright	未执行	Nightly	待分配	—	—	—	—
ORG-008	P1	序列处理	视频取帧非法范围	异常	适用	视频已加载	开始<0；结束>时长；开始≥结束	填写范围并提取	值被约束或提取按钮禁用；无崩溃和空白状态污染	Playwright	未执行	Nightly	待分配	—	—	—	—
ORG-009	P0	序列处理	反选工作集	正向	适用	4 帧，其中 1、3 入集	反选	点击“反选工作集”	1、3 排除，2、4 入集；计数更新	Playwright	通过	Release	待分配	2026-08-10	—	—	Edge 4 帧精确断言：初始 1/3 入集，反选后 1/3 排除、2/4 入集。
ORG-010	P0	序列处理	减帧边界	参数化	适用	20 帧全部入集	N=2、20	分别点击“减帧”	按规则保留帧；顺序稳定；N 边界可用	单元+Playwright	通过	Release	待分配	2026-08-10	—	—	Edge 20 帧边界回归：N=2 保留 10 帧，恢复全入集后 N=20 保留第 1 帧；顺序稳定。
ORG-011	P1	序列处理	减帧越界	异常	适用	工作集已加载	N=1、21、空值	输入并触发	输入约束到 2–20 或阻止执行；工作集不损坏	Playwright	未执行	Nightly	待分配	—	—	—	—
ORG-012	P0	序列处理	文件名与选择顺序	正向	适用	文件名顺序和选择顺序不同	frame_10、frame_2、frame_01	切换“文件名”“选择顺序”；恢复导入顺序	各排序模式结果正确；恢复后与初始导入一致	单元+Playwright	通过	Release	待分配	2026-08-10	—	—	Edge 精确验证自然文件名顺序与 FileList 选择顺序；切换策略并执行“恢复导入顺序”后结果准确。
ORG-013	P1	序列处理	拖动排序	交互	适用	至少 4 帧	将第 4 帧拖至第 1	拖动卡片并预览	网格、预览和导出顺序一致	Playwright	未执行	Nightly	待分配	—	—	—	—
ORG-014	P0	序列处理	水平翻转	图像	适用	导入非对称图片	水平翻转	点击“水平翻转”；切换原始/编辑结果	编辑结果水平镜像；原始图不变	视觉回归	通过	Release	待分配	2026-08-10	—	—	使用真实“程序员敌人.png”：翻转后编辑缩略图像素数据改变，切回原始视图的数据与翻转前完全一致。
ORG-015	P1	序列处理	跳变帧分析	算法	适用	含明显跳变帧序列	阈值 55、88、100	运行“寻找跳变帧”	结果随阈值合理变化；异常帧可定位	单元+Playwright	未执行	Nightly	待分配	—	—	—	Pro
ORG-016	P1	序列处理	重复帧分析	算法	适用	含精确和近似重复帧	阈值 88	运行“寻找重复帧”	识别重复项并可选择处理；原帧未自动删除	单元+Playwright	未执行	Nightly	待分配	—	—	—	Pro
ORG-017	P1	序列处理	循环段查找	算法	适用	含已知循环片段	起始自动/自定义；偏好自动/短/长	运行搜索；预览候选；保留循环段	候选区间正确；裁剪后只保留选择区间	单元+Playwright	未执行	Nightly	待分配	—	—	—	Pro；本轮真实 MP4 已覆盖搜索完成至 100%，候选正确性和裁剪保留仍待专用已知循环夹具验证。
ORG-018	P1	序列处理	循环起始帧边界	边界	适用	10 帧工作集	起始 1、10、11	运行搜索	1 和 10 接受；11 被约束或拒绝	Playwright	未执行	Nightly	待分配	—	—	—	Pro
ORG-019	P0	序列处理	删除与撤销	状态	适用	至少 3 帧	删除第 2 帧；1114×674 内容区	点击“删除选中”；检查预览/速度栏/状态栏边界；再点“撤销删除”	删除后 2 帧；预览、速度栏和状态操作区不交叠；撤销后原顺序和图像恢复	Playwright+elementFromPoint	通过	Release	待分配	2026-08-10	BUG-20260810-001；BUG-20260810-003	Edge 1114×674 回归测试	修复固定工作台的短高度空间挤压：速度栏改为流式布局，页脚紧凑排列。永久回归验证实际点击恢复 3 帧及 4 个主要页脚动作中心命中自身。
ORG-020	P1	序列处理	清空工作集离开保护	破坏性	适用	有未应用工作集	清空/返回首页	先取消；再确认	取消保持工作集；确认后清空或离开；焦点返回触发按钮	Playwright	通过	Nightly	待分配	2026-08-09	—	—	Edge 回归覆盖导入后离开：点击遮罩取消并保持工作集、焦点返回触发按钮；再次确认后进入工具中心。
ORG-021	P0	序列处理	PNG 序列导出 ZIP	闭环	适用	2 张有效 PNG	仅 PNG+frames.json	导出；读取 ZIP	含 2 张 PNG、frames.json、xsxb-animation.json；文件可解码	Playwright+ZIP 校验	通过	Release	待分配	2026-08-09	—	—	真实 2 PNG 导出 ZIP 通过；2 个帧文件、frames.json 与动画清单存在且 PNG 可解码。
ORG-022	P0	序列处理	Sprite Sheet 导出	闭环	适用	2 张有效 PNG	勾选 Sprite Sheet	开始导出；读取 ZIP	含 spritesheets PNG 和 atlas.json；坐标/帧数一致	Playwright+ZIP 校验	通过	Release	待分配	2026-08-09	—	—	真实 2 PNG Sprite Sheet ZIP 通过；spritesheets/atlas.json 存在、帧数一致且图集 PNG 可解码。
ORG-023	P0	序列处理	线上 GIF/MOV 限制	环境	适用	线上导出对话框	GIF、透明 MOV	打开导出对话框	两项禁用；显示依赖本地 FFmpeg 的说明	Playwright	通过	Release	待分配	2026-08-10	—	—	生产环境隔离 Edge 会话导入 2 张真实 PNG 后打开导出对话框；GIF 与透明 MOV 均为 disabled，页面显示“正在检查本地 FFmpeg…”提示。
ORG-024	P1	序列处理	未选择导出格式	异常	适用	导出对话框已打开	取消全部勾选	点击“开始导出”	阻止导出并提示至少选择一种格式	Playwright	未执行	Nightly	待分配	—	—	—	—
ORG-025	P0	序列处理	应用到当前动画并重映射	数据完整性	适用	动画有调参、框体、音频、挂件	删除/重排部分帧	在 /workspace/tools/organizer 删除或重排部分帧并应用；保存；刷新；重新打开动画；导出 ZIP	帧序重组成功；关联数据映射到正确新索引；刷新与重新打开后保持；ZIP 帧序和工作台一致	API+Playwright	通过	Release	待分配	2026-08-10	—	—	4 帧项目在原第 3 帧写入调参、播放时长、碰撞体、音频和挂件后按 N=2 减为 2 帧；全部数据精确迁移到新第 2 帧，旧索引清除；刷新 UI 保持，导出 ZIP 帧数与清单一致。
ORG-026	P0	序列处理	视频超过旧 300 帧上限	回归/边界	适用	浏览器支持测试视频；Nightly 设备内存充足	301 帧真实低分辨率视频；600 帧计数 mock	PR/单元以 mock 验证 301 与 600 均不禁用；Nightly 实际提取 301 帧并检查首尾与数量	提取按钮不因超过 300 帧禁用；真实提取完成且帧数和顺序正确；页面保持响应	单元 mock+Playwright Nightly	通过	Nightly	待分配	2026-08-10	—	—	Edge 使用 FFmpeg 生成的 16×16、60 FPS、H.264、恰好 301 帧 MP4 实际提取 301 帧；首尾文件名、数量与顺序正确，流程完成且页面保持响应。
ORG-027	P0	序列处理	视频超过旧总像素预算	回归/边界	适用	视频可解码；可 mock 抽帧计数与输出尺寸	count×缩放后输出宽×输出高 > 120,000,000（输出边长上限 2048 后计算）	PR/单元构造超过旧预算的计数与缩放后尺寸；同步控件并验证允许启动；Nightly 可用短视频实测	不显示“分辨率与帧数占用过大”；按钮不因旧预算禁用；抽帧流程正确启动并结束	单元+Playwright mock；Nightly 实测	通过	Nightly	待分配	2026-08-10	—	—	frame_organizer_video 定向单元 4/4 通过，覆盖超过旧帧数及解码像素预算时仍允许选择、同步控件并启动抽帧；未出现旧预算错误提示。
ORG-028	P0	序列处理	真实大工作集预览最低可读高度	视觉/可操作性	适用	已导入至少 53 帧的真实视频工作集	1114×674 内容区；53 帧；状态栏和 5 个页脚动作均显示	进入序列处理页；测量预览画布与源图显示区域；再滚动/操作全部页脚动作	预览保持明确的最低可读展示高度或可访问的独立预览模式；源图不被压缩为横向窄条；全部页脚动作仍可到达并点击	Edge 真实素材+boundingBox+截图	通过	Release	待分配	2026-08-10	BUG-20260810-005	本地 Edge 53 张 1920×1440 素材；Edge E2E	真实 53 张大图已全部导入并保持预览、速度栏和 5 个页脚动作可用；1120/1121×720/721 四个相邻断点无横向溢出、遮挡或预览坍缩。
ORG-029	P0	序列处理	原始/编辑结果状态可区分	状态/错误恢复	适用	工作集含至少 1 帧；可模拟抠图失败或未处理状态	成功编辑、未编辑、总像素预算失败三种状态	分别点“原始”和“编辑结果”；比较画布像素与控件状态；触发失败后再次切换	无编辑产出时“编辑结果”禁用或明确提示暂无结果；成功后切换改变实际来源；错误不会伪装成已切换	Playwright canvas pixel+ARIA 断言	部分通过	Release	待分配	2026-08-10	BUG-20260810-007	本地 Playwright 回归	新增 hasEditedResult 状态：未编辑时“编辑结果”禁用并提示；水平翻转或抠图回写后启用。已通过自动化，待生产真实抠图结果复测。
CUT-001	P0	批量抠图	多图加载与处理	闭环	适用	打开 /tools/cutout	2 张 PNG	选择图片；等待处理完成	状态显示 2 张；结果画布可见；无失败	Playwright	通过	PR	待分配	2026-08-09	—	—	Edge 双 PNG 批次处理通过；另以真实大图“程序员敌人.png”验证处理完成和结果画布可见。
CUT-002	P1	批量抠图	输入格式和损坏文件	异常	适用	抠图页已打开	合法 PNG + 损坏 PNG + 不支持文件	批量导入	合法项保留；非法项跳过/失败计数准确；页面继续可用	Playwright	未执行	Nightly	待分配	—	—	—	—
CUT-003	P0	批量抠图	背景取色和清除样本	正向	适用	纯色背景图片已加载	点击背景色像素	点击“背景清除”；点击画布；再点“清除样本”	新增样本并重算；清除样本后局部修正记录仍在	Playwright	通过	Release	待分配	2026-08-10	—	—	Edge 真实大图取样后新增背景样本并重算；先添加画笔修正，再清除样本，提示明确说明局部修正未删除且撤销仍可用。
CUT-004	P1	批量抠图	容差边界	边界	适用	图片已加载	-1、0、100	逐个设置容差并等待预览	均可处理；-1 使用自动估计；100 不引发崩溃	单元+Playwright	未执行	Nightly	待分配	—	—	—	—
CUT-005	P1	批量抠图	边缘清除增强	参数化	适用	带彩边素材	0、10、100	改变参数；比较 Alpha/差异视图	数值显示一致；边缘处理强度变化合理	视觉+像素断言	未执行	Nightly	待分配	—	—	—	Pro
CUT-006	P1	批量抠图	混合换色模式	参数化	适用	有背景混色素材	强度 0、100；通用/混合/褪色	组合切换参数	0 不产生混合换色；100 各模式输出可区分且稳定	像素单元+视觉	未执行	Nightly	待分配	—	—	—	Pro
CUT-007	P1	批量抠图	后处理参数边界	参数化	适用	带边缘污染素材	去污 0/100；半径 0/12；恢复 0/100；搜索 0/30；柔化 0/6	逐项设置最小/最大	输出成功；参数和值标签同步；无超界	单元+Playwright	未执行	Nightly	待分配	—	—	—	Pro
CUT-008	P1	批量抠图	高级 Alpha 参数	参数化	适用	含半透明边缘素材	柔化 0/24；色键柔边 0/100；低/高 0/255；硬阈值 0/48	展开高级区；设置边界	Alpha 输出随参数变化；边界值合法；无 NaN	单元+Playwright	未执行	Nightly	待分配	—	—	—	Pro
CUT-009	P1	批量抠图	连通清除开关	算法	适用	图内有封闭背景色孔洞	开/关	关闭处理并记录；开启“仅从画面边缘清除”再处理	开启时保留不连通内部区域；关闭时按全图色键处理	像素单元	未执行	Nightly	待分配	—	—	—	Pro
CUT-010	P1	批量抠图	柔性色键开关	算法	适用	复杂渐变背景	OKLab/YCbCr 开/关	切换并比较结果	开启后柔性颜色距离路径生效；主体未异常消失	像素单元	未执行	Nightly	待分配	—	—	—	Pro
CUT-011	P0	批量抠图	保护色工作流	闭环	适用	主体颜色接近背景	容差 0、40	吸取保护色；添加；执行背景清除；再清除保护色	受保护颜色保留；清除后恢复普通处理	Playwright+像素断言	通过	Release	待分配	2026-08-10	—	—	Edge 完成保护色添加、容差 40→0、清除；精确像素断言验证容差 0 和 40 均保留与背景相同的受保护 RGBA，清除保护后普通路径将其透明化。
CUT-012	P1	批量抠图	智能主体保护边界	参数化	适用	人物素材已加载	边界识别 0/55/100；扩展 0/2/8	框选主体；改变参数	保护预览同步；参数边界可用；主体保护区域合理	视觉+单元	未执行	Nightly	待分配	—	—	—	Pro
CUT-013	P0	批量抠图	画笔参数边界	参数化	适用	结果画布已加载	大小 1/100；硬度 1/100；不透明度 1/100	选择画笔；绘制相同路径	笔触尺寸、软硬和透明度符合参数；产生可撤销修正	Playwright+像素断言	通过	Release	待分配	2026-08-10	—	—	精确像素测试覆盖大小 1/100、硬度 1/100、不透明度 1/100；覆盖像素数、边缘 Alpha 与中心 Alpha 符合圆形笔刷定义，Edge 笔触可提交并撤销。
CUT-014	P0	批量抠图	橡皮擦与原图恢复笔	正向	适用	结果含可见主体	橡皮擦、原图恢复笔	擦除一块；再用恢复笔覆盖	先变透明；后按原图 RGBA 恢复；历史记录正确	Playwright+像素断言	通过	Release	待分配	2026-08-10	—	—	精确像素断言验证橡皮擦将 Alpha 清零，原图恢复笔恢复完整原始 RGBA；Edge 中两种工具均提交局部修正并进入历史栈。
CUT-015	P0	批量抠图	补色连通区域与整图	参数化	适用	同色区域既连通又分离	目标绿；容差 18；连通/整图	分别点击区域执行补色	连通只修改目标连通域；整图修改全部匹配像素	像素单元+Playwright	通过	Release	待分配	2026-08-10	—	—	分离同色区域像素夹具验证 connected 仅修改起点连通域，global 修改全部匹配 RGBA；Edge 补色操作可提交。
CUT-016	P0	批量抠图	无颜色和清空区域	正向	适用	结果画布已加载	透明目标	使用“无颜色”匹配区域；使用“清空区域”框选	对应像素 Alpha=0；范围准确	像素断言	通过	Release	待分配	2026-08-10	—	—	透明目标全局替换精确得到匹配像素 Alpha=0，非匹配像素保持；Edge 无颜色快捷键同步且清空区域操作提交成功。
CUT-017	P0	批量抠图	区域恢复完整 RGBA	回归	适用	区域先经补色/清空	矩形区域	点击“区域恢复”；框选已修改区域	框内所有像素恢复原图，包括原背景；框外不变	Playwright+像素断言	通过	Release	待分配	2026-08-10	—	—	2×2 多 Alpha/RGB 夹具先整区清空，再仅恢复指定矩形；框内完整 RGBA 等于原图，框外保持透明，Edge 区域恢复提交成功。
CUT-018	P0	批量抠图	局部修正撤销重做重置	状态	适用	连续完成 3 个修正	撤销/重做/清除修正	逐次操作	状态按历史栈准确回退/前进；重置清除所有局部修正	Playwright	通过	Release	待分配	2026-08-10	—	—	Edge 连续提交画笔、清空区域、区域恢复；逐次撤销 3 次、重做 3 次正确；清除修正后栈清空且该清除动作本身可撤销恢复。
CUT-019	P1	批量抠图	修复传播到全部帧	算法	适用	3 张有连续运动的素材	第 2 帧矩形修复	执行“传播到全部帧”	报告成功/失败数量；修复区域随运动匹配；不越界	单元+Playwright	未执行	Nightly	待分配	—	—	—	Pro
CUT-020	P0	批量抠图	A/B 候选生成与应用	闭环	适用	图片已加载	分割 35%；范围当前帧	生成 A/B；切换 A/B/B；应用 B；撤销	视图切换正确；应用后参数改变；撤销恢复基线	Playwright	通过	Release	待分配	2026-08-09	—	—	Edge 触控回归覆盖候选生成、对比、预设、应用和撤销，全部通过。
CUT-021	P1	批量抠图	A/B 分割线边界	边界	适用	A/B 已生成	5、95、4、96	拖动/输入分割值	5 和 95 生效；越界被约束；ARIA 值同步	Playwright	未执行	Nightly	待分配	—	—	—	—
CUT-022	P1	批量抠图	A/B 本地预设	状态	适用	A/B 已生成	预设名 40 字符	保存；载入为 B；删除；刷新后检查	保存/载入/删除成功；长度边界接受；持久策略符合设计	Playwright	未执行	Nightly	待分配	—	—	—	—
CUT-023	P0	批量抠图	批次包含排除与反选	状态	适用	4 张图片	包含/排除组合	全部排除；选择两张；反选；包含所选；导出	计数和缩略图状态准确；只导出包含项	Playwright+ZIP 校验	通过	Release	待分配	2026-08-10	—	—	Edge 4 图批次选择 2 张后反选仍为另 2 张，排除所选得到 2 included/2 excluded；ZIP 仅含 2 PNG，manifest totals 为 images=4、exported=2、excluded=2、failed=0。
CUT-024	P0	批量抠图	删除所选和清空批次确认	破坏性	适用	批次至少 2 张	删除、清空	每个操作先取消再确认	取消保持数据；确认只删除目标或清空全部；焦点恢复	Playwright	通过	Release	待分配	2026-08-09	—	—	Edge 回归分别覆盖删除所选与清空批次的取消、确认和焦点恢复；确认后队列准确归零。
CUT-025	P1	批量抠图	新建批次与会话恢复	状态	适用	批次有未导出结果	离开后返回；新建批次	验证恢复提示；新建先取消再确认	原批次可恢复；确认新建后状态完全重置	Playwright	通过	Nightly	待分配	2026-08-09	—	—	Edge 回归离开再返回后恢复 1 张图片；新建批次先取消保持，再确认后队列、状态和按钮全部重置。
CUT-026	P0	批量抠图	导出 ZIP 内容	闭环	适用	2 张有效图片	默认参数	点击“导出 ZIP”；解析下载	ZIP 含 2 张可解码 PNG 和 cutout-manifest.json；统计正确	Playwright+ZIP 校验	通过	Release	待分配	2026-08-09	—	—	Edge 双 PNG ZIP 解析通过：2 张 PNG 可解码，manifest totals 为 images=2、exported=2、failed=0；真实单图 ZIP 另行通过。
CUT-027	P0	批量抠图	替换当前动画确认	数据完整性	适用	从工作台载入当前动画	输出帧数与原帧一致	点击“替换当前动画”；取消一次；再确认；保存；进入项目中心查询并重新打开动画	取消不改变项目；确认后帧替换且调参关联保留；项目可查询；重新打开后抠图结果完整	API+Playwright	通过	Release	待分配	2026-08-10	OPT-20260810-001	—	2 帧真实大图项目先保存帧调参；工作台入口载入当前动画，取消替换不改项目，确认后 PNG 字节变化、调参关联保留；项目中心可查询，重新打开仍为 2 帧且调参值正确。
CUT-028	P1	批量抠图	画布缩放边界	边界	适用	图片已加载	12%、100%、800%	设置缩放；点击适应和 100%	缩放值、尺寸和按钮状态正确；工具坐标不漂移	Playwright+视觉	未执行	Nightly	待分配	—	—	—	—
CUT-029	P0	批量抠图	真实视频帧批量智能抠图总像素预算	端到端/容量	适用	从序列处理页载入真实视频提取工作集	53 帧；累计已解码像素超过 64MP	点击“智能抠图”；等待处理或预检结果；返回序列页检查编辑产出	不会以不可恢复的 64MP 总像素错误中断完整工作集；按产品策略完成分批/降采样，或在抽帧前提供可执行预检与调整路径	Edge 真实素材+状态断言	部分通过	Release	待分配	2026-08-10	BUG-20260810-006	本地单元、Playwright 与 Edge 工作台核对	已按稳定顺序和 64MP 像素预算自动拆分批次；单元验证 5×16MP 分为 4+1 且依次回写，本地 Edge 成功打开真实高分辨率工作台。仍需部署后用视频提取的原 53 帧完整走完全部批次。
TUN-001	P0	核心调参	三层变换隔离	数据完整性	适用	同角色 2 个动画，每组 2 帧	水平位置分别 +1/+2/+3	在全部动画、当前动画、帧三个范围依次修改	角色层影响两组；组层只影响当前组；帧层只影响选中帧	Playwright	通过	Release	待分配	2026-08-10	—	—	同角色双动画 Edge 精确回归：角色层 +1 两组共享；动画 A 组层 +2、帧层再步进 +3 得到绝对值 5；切到动画 B 后组/帧仍为 0，仅角色层保持 1。
TUN-002	P0	核心调参	变换步长	参数化	适用	工作台已加载	缩放 0.001；旋转 1；位置 1；Shift×10	点击步进按钮及 Shift+方向键	每次增减严格符合步长；显示值和画布同步	Playwright	通过	Release	待分配	2026-08-10	—	—	adjustment input 定向单元覆盖层级切换、缩放/旋转/位置步进及 multiplier=10，数值同步与更新调用正确；Edge 帧变换实测 1/0.001/1。
TUN-003	P1	核心调参	非等比缩放	正向	适用	展开高级变换	X +0.001；Y -0.001	分别调整横向/纵向拉伸	只改变对应轴；整体缩放和旋转不被意外重置	Playwright+视觉	未执行	Nightly	待分配	—	—	—	—
TUN-004	P0	核心调参	拖动画布移动角色	交互	不适用	工作台有当前动画	拖动 50×30 px	在画布拖动角色；保存并刷新	偏移按坐标换算更新；刷新后保持	Playwright	不适用	Release	待分配	2026-08-10	OPT-20260810-002	—	当前 UI 提示和指针实现均定义“拖动画布＝平移视图”，仅框体/附件有直接操纵分支，角色位移使用数值步进；需产品决定新增直拖角色交互或修改本用例。
